# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.updates.count,1716621188305000000,1716621303615000000,5
workspaceModel.init.bridges.ms,1716621188305000000,1716621303615000000,5
workspaceModel.replace.project.model.ms,1716621188305000000,1716621303615000000,0
workspaceModel.check.recursive.update.ms,1716621188305000000,1716621303615000000,1
workspaceModel.updates.ms,1716621188305000000,1716621303615000000,107
workspaceModel.loading.from.cache.ms,1716621188305000000,1716621303615000000,19
workspaceModel.loading.total.ms,1716621188305000000,1716621303615000000,38
workspaceModel.collect.changes.ms,1716621188305000000,1716621303615000000,0
workspaceModel.pre.handlers.ms,1716621188305000000,1716621303615000000,2
workspaceModel.initializing.ms,1716621188305000000,1716621303615000000,5
workspaceModel.update.unloaded.entities.ms,1716621188305000000,1716621303615000000,0
workspaceModel.to.snapshot.ms,1716621188305000000,1716621303615000000,1
workspaceModel.updates.precise.ms,1716621188305000000,1716621303615000000,4
OS.loadAverage,1716621188305000000,1716621303615000000,4.7177734375
JVM.usedHeapBytes,1716621188305000000,1716621303615000000,249435136
JVM.usedNativeBytes,1716621188305000000,1716621303615000000,309642920
JVM.GC.collections,1716621188305000000,1716621303615000000,23
JVM.totalCpuTimeMs,1716621188305000000,1716621303615000000,47714
JVM.threadCount,1716621188305000000,1716621303615000000,126
JVM.GC.collectionTimesMs,1716621188305000000,1716621303615000000,269
JVM.maxHeapBytes,1716621188305000000,1716621303615000000,2147483648
JVM.maxNativeBytes,1716621188305000000,1716621303615000000,-1
Indexes.stubs.lookupDurationAvgMs,1716621188305000000,1716621303615000000,0.28
Indexes.entries.lookupDurationAvgMs,1716621188305000000,1716621303615000000,3.2
Indexes.stubs.lookupDuration90PMs,1716621188305000000,1716621303615000000,0.0
Indexes.entries.lookups,1716621188305000000,1716621303615000000,5.0
Indexes.allKeys.lookupDurationAvgMs,1716621188305000000,1716621303615000000,0.0
