# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
jps.library.entities.serializer.save.entities.ms,1716626833177000000,1716626893192000000,0
jps.library.entities.serializer.load.entities.ms,1716626833177000000,1716626893192000000,0
workspaceModel.moduleBridge.before.changed.ms,1716626833177000000,1716626893192000000,0
jps.artifact.entities.serializer.load.entities.ms,1716626833177000000,1716626893192000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1716626833177000000,1716626893192000000,0
workspaceModel.global.updates.ms,1716626833177000000,1716626893192000000,0
jps.reload.project.entities.ms,1716626833177000000,1716626893192000000,0
jps.module.iml.entities.serializer.load.entities.ms,1716626833177000000,1716626893192000000,0
jps.apply.loaded.storage.ms,1716626833177000000,1716626893192000000,89
workspaceModel.moduleManagerBridge.load.all.modules.ms,1716626833177000000,1716626893192000000,3
workspaceModel.mutableEntityStorage.has.same.entities.ms,1716626833177000000,1716626893192000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1716626833177000000,1716626893192000000,2
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1716626833177000000,1716626893192000000,0
jps.save.changed.project.entities.ms,1716626833177000000,1716626893192000000,37
jps.global.get.library.ms,1716626833177000000,1716626893192000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1716626833177000000,1716626893192000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1716626833177000000,1716626893192000000,14
workspaceModel.delayed.project.synchronizer.sync.ms,1716626833177000000,1716626893192000000,0
jps.global.initialize.library.bridges.ms,1716626833177000000,1716626893192000000,0
workspaceModel.save.cache.to.file.ms,1716626833177000000,1716626893192000000,319
jps.project.serializers.load.ms,1716626833177000000,1716626893192000000,2
workspaceModel.mutableEntityStorage.add.entity.ms,1716626833177000000,1716626893192000000,16
jps.facet.change.listener.process.change.events.ms,1716626833177000000,1716626893192000000,1
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1716626833177000000,1716626893192000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1716626833177000000,1716626893192000000,94
workspaceModel.moduleManagerBridge.load.module.ms,1716626833177000000,1716626893192000000,0
jps.global.initialize.library.bridges.after.loading.ms,1716626833177000000,1716626893192000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1716626833177000000,1716626893192000000,0
